injection_id,noise_seed,sampler_seed,M_c,q,s1_mag,s1_theta,s1_phi,s2_mag,s2_theta,s2_phi,iota,lambda_1,lambda_2,ra,dec,psi,t_c,phase_c,d_L
0,498013610,2825640361,1.619222217337403,0.7851706616072878,0.03735167368422953,1.4313439357476228,1.207074484275041,0.01713841967377896,1.4001169758242322,1.2943594276906998,1.8305952378648742,3773.2394089108966,679.4613583790382,4.578623228820335,-0.4603988726395555,0.2964900470175074,-0.021927001842696837,0.6466330323262647,99.19705373992394
1,285195495,2725029471,1.6114288615597059,0.6917309948388113,0.008249905524344804,1.11863561306319,2.784095428512334,0.029400839382669738,1.204595777875155,3.3329524185819044,1.6959772061275078,3073.2748469266303,140.01610037670864,2.3640962884441055,-1.2508829576773426,0.9171777503383011,-0.0007958747978425107,1.8824467762921722,108.35330670633793
2,3833825948,2475877009,2.2300811640156484,0.7500397416094048,9.651582893016597e-05,1.1063974354412949,6.229575168691144,0.019750675083543414,2.11013577299446,1.2209308337266707,1.3275955858166182,3692.2862525878795,75.56021485229658,2.358991086960147,0.26534790737201336,2.28919861887639,0.004462691384625073,1.6116249181429148,143.50822027039828
3,3128306321,4205894994,1.770777628603383,0.9861359880180449,0.011207975525598046,1.067064565031389,4.837258124268704,0.04924541427389897,0.94582462897633,3.8068327743471797,1.5741867089735968,194.26678101347073,738.9037136932902,3.5188365689632146,-0.7499885114144856,3.055742393129717,0.008337099337492493,2.4577560136796026,134.02595181179146
4,757940039,163687198,1.8194319317479117,0.5828864308923749,0.01215198892069584,1.3912027678135939,5.4897037010901135,0.03174328605557156,2.6752162576931737,4.188971955040125,1.1840476781397866,3507.1105296836276,4380.04983211326,0.09638751939435555,-0.015714294769989322,0.34411368048488533,-0.008045108818279141,0.8195110533634483,143.56933101795826
5,150978345,1161323049,2.011339806984988,0.889736617200466,0.01629881687606848,0.7540815597434665,2.1438399914892807,0.009717184969045195,0.5033270619905535,4.692029280487864,1.8470568553583868,4067.7111043025084,4148.3037592483515,0.7749237743718824,0.7329756771773779,2.677234289463192,-0.023076620397486664,1.0596780909184167,47.84872020277079
6,78380955,441098543,1.6841351531416846,0.840342997806068,0.03543261783607093,2.095900223345858,4.189105416070312,0.043256355426710996,1.292993998078799,3.175172252539922,1.065293136708478,4909.265414834741,4968.074404955053,3.925749663661606,1.0066890205102845,3.09816726519294,-0.004585747835926159,3.0005054499143617,127.55983630024048
7,3619553504,573911606,1.5835339424528072,0.6313454810206605,0.03261991849909739,0.5822712950781594,3.3508960899144724,0.02997742344050773,1.7290193612752673,5.69387752255644,1.9656169677104525,216.18820259208027,3627.5727316610432,5.372967736044839,-0.5250109042222617,0.1004578618754366,-0.0001210193594129061,2.9830097884686158,131.03637924033785
8,3209401391,1551636026,2.06095766022537,0.8042558389875294,0.030903074772015773,1.5095116424332047,1.6217738092420402,0.026372594234291714,0.7979038424332979,1.2146389752799178,1.5975503944578275,523.7895048933044,4440.80137011713,1.9157618769252684,0.22120329142752979,2.06738397842265,0.018526186645571395,0.9385359026206429,101.75001446253565
9,2812763778,333033536,1.9022659525367334,0.7917163232958526,0.04965988976013119,0.5725734806794258,4.55631071211054,0.0492638745645825,0.8785342679466659,4.16554637160542,0.815700539795327,2116.8088513134853,499.74505573153414,2.365622339920409,0.829842342743435,2.0266832579843648,0.006321647575660626,0.1846733498738576,125.61016912347796
10,4281662895,1834070503,1.7394125878262212,0.7704430834371282,0.047961894530327696,1.599471295196409,5.8953052604287075,0.04014019870037418,0.37315526845454305,2.777437128692617,1.8425501379972269,4627.805862562326,3079.013172869296,2.0143624446163804,1.1339073818063923,0.03283563386701938,0.011633959942374235,2.9961097435243444,101.71769514626263
11,2139300498,895218575,1.6402930729557834,0.8996629293554973,0.04142295162596783,2.1270037031485938,1.2931638454438616,0.04432094484676538,2.039959712789547,5.070574481228699,2.604219888298003,1064.2407719328305,3475.082801545938,2.9963989235332344,-0.3583503685392773,2.9851331070617415,-0.005625461648670798,5.567411169175947,144.50291711068732
12,621223037,1009575453,2.423749953238928,0.9608459910395699,0.010676030883830179,0.6776124764250379,1.4873182988965694,0.015258931591214116,2.8105014267339317,0.9655963537533118,0.18722844525842153,3507.917267937572,4797.528994021028,5.538940900447467,-1.2085001321649247,2.6976268798224368,-0.023522973237444806,0.15788964667805797,93.45230573610753
13,3252767678,3743888304,2.3258162153394,0.7230185277200936,0.03480464706711247,1.636893527922275,0.5051863184999629,0.04724598857652065,0.9650151918844991,3.4155928297881695,2.376801313720891,547.7501700170723,1425.137408472405,4.4630220911537375,1.420114542678857,0.6361503752703235,0.011472797941036655,1.0211738841884517,65.2593442325022
14,3562721581,2483077048,1.512662222509759,0.9864258481097977,0.011830853265749031,1.3501713628316518,4.450658457588969,0.03472769871229893,2.739738908856541,1.8896478785997746,1.4766740231393818,768.2719484508771,3395.381005544017,0.5180499343229712,0.546063190722665,0.22203547409080576,-0.006175894497252295,1.4013285381129716,142.97948784253717
